Localidad,UPZ,Barrio
Chapinero,Chicó Lago (97),Chicó Occidental
Chapinero,Chicó Lago (97),El Chicó
Chapinero,Chicó Lago (97),El Retiro
Chapinero,Chicó Lago (97),Espartillal
Chapinero,Chicó Lago (97),La Cabrera
Chapinero,Chicó Lago (97),Lago Gaitán
Chapinero,Chicó Lago (97),Porciúncula
Chapinero,Chicó Lago (97),Quinta Camacho
Chapinero,Chapinero Centro (99),Cataluña
Chapinero,Chapinero Centro (99),Chapinero Central
Chapinero,Chapinero Centro (99),Chapinero Norte
Chapinero,Chapinero Centro (99),Marly
Chapinero,Chapinero Centro (99),Sucre
Chapinero,Otras Zonas,El Verjón Bajo (Vereda)
Santa Fe,Sagrado Corazón (91),La Merced
Santa Fe,Sagrado Corazón (91),Parque Central Bavaria
Santa Fe,Sagrado Corazón (91),Sagrado Corazón
Santa Fe,Sagrado Corazón (91),San Diego
Santa Fe,Sagrado Corazón (91),San Martín
Santa Fe,Sagrado Corazón (91),Torres del Parque
Santa Fe,La Macarena (92),Bosque Izquierdo
Santa Fe,La Macarena (92),Germania
Santa Fe,La Macarena (92),La Macarena
Santa Fe,La Macarena (92),La Paz Centro
Santa Fe,La Macarena (92),La Perseverancia
Santa Fe,Las Nieves (93),La Alameda
Santa Fe,Las Nieves (93),La Capuchina
Santa Fe,Las Nieves (93),La Veracruz
Santa Fe,Las Nieves (93),Las Nieves
Santa Fe,Las Nieves (93),Santa Inés
Santa Fe,Las Cruces (95),Las Cruces
Santa Fe,Las Cruces (95),San Bernardo
Santa Fe,Lourdes (96),Atanasio Giradot
Santa Fe,Lourdes (96),Cartagena
Santa Fe,Lourdes (96),Egipto
Santa Fe,Lourdes (96),Egipto Alto (J.C. Turbay)
Santa Fe,Lourdes (96),El Balcón
Santa Fe,Lourdes (96),El Consuelo
Santa Fe,Lourdes (96),El Dorado
Santa Fe,Lourdes (96),El Guavio
Santa Fe,Lourdes (96),El Mirador
Santa Fe,Lourdes (96),El Rocío
Santa Fe,Lourdes (96),El Triunfo
Santa Fe,Lourdes (96),Fábrica de Loza
