conjunto,administración,estrato,antiguedad,remodelado,área,habitaciones,baños,garajes,elevadores,tipo_de_inmueble,deposito,porteria,zona_de_lavanderia,gas,parqueadero,precio,direccion,nombre,descripcion,barrio
Casa en Venta,0,2,44,No,126.0,6,3,1,0,Casa,0,No,No Tiene,Si,No,490000000.0,Carrera 78c # 60 -36 Sur,Casa en Venta,"Casa en venta de 126 m2, con vista exterior (Casa 27), acceso por 1er piso, parqueadero cubierto. Consta de 9 habitaciones, 6 baños, sala comedor en 1er, 2do, 3er piso, 2 estudios, 3 cocinas  y 3 zonas de lavandería. Tiene piso ceramico en todas sus zonas. Cerca a centro comercial Gran Plaza Bosa, Centro Comercial Y Artesanal Bosa Centro ;cerca a almacenes de cadena Exito, Ara y D1 ; cerca a colegio IED Sede B, Colegio José Antonio Galán, Colegio Distrital Pablo de Tarso; cerca a universidad CUN, Sede ciudadela universitaria del Sur- Universidad ECCI ; cerca a estacion de Transmilenio Bosa la estacion; Vías de acceso por la Carrera 80 y La Avenida Bosa.",BOSA CENTRAL
Balcones de Granada 5,274327,4,7,No,71.0,3,2,0,1,Apartamento,0,24 hrs,No Tiene,Si,No,280000000.0,Transversal 120a # 77-30,Balcones de Granada 5,"Apartamento en venta de 71m2, con vista interior, ubicado en un 1er piso (Torre 2 Apto 104). Consta de 3 habitaciones, 2 baños, sala comedor, balcón (3m2), cocina integral y zona de lavandería. Tiene piso laminado  en habitaciones y zona social y cerámico en baños y cocina. El conjunto cuenta con parque infantil, salón comunal, zonas verdes y vigilancia privada las 24 horas. Cerca a centro comercial Unicentro Occidente y Portal 80; cerca a almacenes de cadena como Éxito, Colsubsidio y D1; cerca a colegio Luigi Pirandello y General Santander; cerca a universidad  Uniminuto; cerca a estación de Transmilenio Portal 80; Vías de acceso por la Calle 80 y Diagonal 77B.",GARCES NAVAS
Edificio Street  118,793000,6,13,No,83.0,2,2,1,1,Apartamento,1,24 hrs,No Tiene,Si,Si,444350000.0,Carrera 14b #118-22,Edificio Street  118,"Apartamento en venta de 83m2, con vista interior, ubicado en un 2do piso (Apto 204), acceso por ascensor, parqueadero propio cubierto (204) y deposito (04). Consta de 2 habitaciones, 2 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso laminado en habitaciones y zona social y cerámico en baños y cocina. El edificio cuenta con terraza y vigilancia privada las 24 horas. Cerca a centros comerciales Unicentro, Hacienda Santa Bárbara y Halley; cerca a almacenes de cadena como Carulla, Éxito, Colsubsidio, D1; cerca a colegio Instituto Pedagógico Nacional, Italiano Leonardo Davinci y Nuestra Señora del Buen Consejo; cerca a universidades El Bosque y Escuela de Gastronomía Mariano Moreno; cerca a estación de Transmilenio Pepe Sierra; Vías de acceso por la Calle 118 y Cra 14. ",SANTA BARBARA
Mirador de Fontibon,121000,2,2,Si,48.0,3,2,0,1,Apartamento,0,24 hrs,No Tiene,Si,Si,174000000.0,Calle 17C #135-43,Mirador de Fontibon,"Apartamento en venta de 48m2, con vista exterior, ubicado en un 6to piso (Torre 2 Apto 614), acceso por ascensor. Consta de 3 habitaciones, 2 baños, sala comedor, balcón (1.30m2) cocina integral y zona de lavandería. Tiene piso cerámico en todas sus zonas. El conjunto cuenta con salón social, zona para niños, piscina, gimnasio, cancha múltiple, parqueadero comunal y vigilancia privada las 24 horas. Cerca a almacenes de cadena como Éxito, Surtimax, Tiendas D1 y Oxxo; cerca a Colegio Prados de Alameda y Colegio Antonio Van uden sede C; cerca a Universidad Colegio Mayor de Cundinamarca; cerca a paraderos del SITP ; Vías de acceso por la calle 17 y la carrera 123.",FONTIBON SAN PABLO
Payande,189000,2,8,No,43.0,2,1,0,2,Apartamento,0,24 hrs,Comunal,Si,Si,170000000.0,Carrera 96 # 140d-13,Payande,"Apartamento en venta de 43m2, con vista interior, ubicado en un 2do piso (Torre 1 Apto 209), acceso por ascensor. Consta de 2 habitaciones, 1 baño, sala comedor, cocina integral y zona de lavandería.Tiene piso laminado en habitaciones, zona social, y ceramico en baño y cocina. El conjunto cuenta con salón comunal, zona BBQ, parqueadero comunal y vigilancia privada las 24 horas. Cerca a centro comercial Plaza Imperial y Centro Suba; cerca a almacenes de cadena como Éxito, D1, Ara y Surtimax; cerca a Colegio Filarmónico Simón Bolívar - Sede A y Liceo Campestre Freinet del Norte; cerca a Uniagustiniana - Campus Suba; cerca a estacion de Transmilenio La Campiña y Portal Suba; Vías de acceso por calle 145 y cra 104.",EL RINCON
Parques de Bogotá Eucalipto,57000,2,5,Si,47.0,3,1,0,0,Apartamento,0,24 hrs,No Tiene,Si,No,125000000.0,Calle 85 Sur  #92-85,Parques de,"Apartamento en venta de 47m2, con vista interior, ubicado en un 5to piso (Torre 10 Apto 501), acceso por escaleras. Consta de 3 habitaciones, 1 baño, sala comedor, cocina integral y zona de lavandería. Tiene piso laminado en habitaciones, zona social y cerámico en baño y cocina. El conjunto cuenta con salón comunal, zonas verdes, zonas para niños, parqueadero comunal y vigilancia privada las 24 horas. Cerca a centro comercial Metrorecreo; cerca a almacenes de cadena como Alkosto, Carulla, Ara y D1; cerca a colegio Campo Verde y Parques de Bogota; cerca a universidad UNAD; cerca a estaciones de Transmilenio como Portal Américas y Banderas; Vías de acceso por la Calle 85 Sur y Carrera 92.",TINTAL SUR
Urban K Edificio Morph,364601,6,2,No,31.0,1,1,1,1,Apartamento,1,24 hrs,Comunal,Si,Si,376785000.0,Calle 95 # 21-80,Urban K Edificio Morph,"Apartamento en venta de 31m2, con vista interior, ubicado en un 4to piso (Apto 405), acceso por ascensor, parqueadero propio cubierto (71) y deposito (D16 - 405). Consta de 1 habitación, 1 baño, sala comedor, balcon (3m2), cocina integral y zona de lavandería. Tiene piso lamiando en habitaciones, zona social, cocina y ceramico en baño. El edificio cuenta con vigilancia privada las 24 horas. Cerca a centro comercial Centro 93 y Plaza 102; cerca a almacenes de cadena como Éxito, Carulla, D1 y Olímpica; cerca a Colegio de Nuestra Señora del Buen Consejo y Colegio Bachillerato Patria; cerca a Universidad Nebrija y Universidad de América; cerca a estacion de Transmilenio La Castellana; Vías de acceso por la calle 100 y la autopista norte.",CHICO LAGO
Bonavista1,124900,3,9,No,55.0,3,2,0,1,Apartamento,0,No,No Tiene,,No,165000000.0,Calle 63 sur # 70D-75,Bonavista1,"Apartamento en venta de 55m2, con vista interior, ubicado en un 14avo piso (Torre 2 Apto 1401), acceso por ascensor. Consta de 3 habitaciones, 2 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso cerámico en todas sus zonas. El conjunto cuenta con zonas verdes, zona para niños, gimnasio, salón social, parqueadero comunal y vigilancia privada las 24 horas. Cerca a centro comercial Gran Plaza el Ensueño; cerca a almacenes de cadena como Oxxo y D1; cerca a colegio María Mercedes Carranza; cerca a universidad Distrital; cerca a rutas alimentadoras y paraderos del SITP ; Vías de acceso por transversal 70g y calle 63 sur.",ISMAEL PERDOMO
Casa en Venta,0,3,23,No,45.0,3,2,0,0,Casa,0,No,No Tiene,Si,No,320000000.0,Carrera 111D # 78D - 02,Casa en Venta,"Casa en venta de 45m2, con vista exterior, ubicado en un 1er piso (Casa 13a - Manzana 27). Consta de 4 habitaciones, 3 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso laminado en habitaciones y ceramico en zona social, baños y cocina. Cerca a centro comercial unicentro de occidente; cerca a almacenes de cadena como Exito, Colsubsidio y D1; cerca a colegio Catolico de la Sabana; cerca a estación de Transmilenio Portal 80; Vías de acceso por Calle 80 y Calle 79.",GARCES NAVAS
Alamedas de suba,0,2,7,No,43.0,2,1,0,0,Apartamento,0,24 hrs,No Tiene,Si,No,150000000.0,"Cl. 131c #126 - 82, Bogotá, Colombia",Alamedas de suba,"Apartamento en venta de 43m2, con vista interior, ubicado en un 2do piso (Torre 29 Apto 202), acceso por escaleras. Consta de 2 habitaciones, 1 baño, sala comedor, cocina integral y zona de lavandería. Tiene piso cerámico en todas sus zonas. El conjunto cuenta con vigilancia privada las 24 horas. Cerca a centros comerciales como Hatochico y Plaza Imperial; cerca a almacenes de cadena como Colsubsidio y D1; cerca a colegio Republica Dominicana y San Anselmo; cerca a universidades; cerca a estacion de Transmilenio Portal Suba; Vías de acceso por la Transversal 127 y Calle 132d.",TIBABUYES
Gardens 101,516200,6,17,Si,71.0,2,2,2,1,Apartamento,1,24 hrs,No Tiene,Si,Si,492000000.0,Carrera 22 #101-45,Gardens 101,"Apartamento en venta de 71m2, con vista interior, ubicado en un 2avo piso (Apto 208), acceso por ascensor y parqueadero propio cubierto (77-76), deposito 17. Consta de 1 habitaciones, 1 cuarto de estudio 2 baños, sala comedor, cocina integral y zona de lavandería. Tiene salón social y vigilancia privada las 24 horas. Cerca a almacenes de cadena como D1, Ara, droguería Colsubsidio ; cerca a los colegios, jardines y universidades como Jardín Infantil The Blossom Tree Kindergarten, Universidad militar Nueva granada cerca a la autopista norte y al hospital los Nogales; Vías de acceso por la Carrera 22 y Calle 101.",SANTA BARBARA
La Capilla de Suba,100200,2,2,Si,56.0,3,2,0,0,Apartamento,0,24 hrs,No Tiene,Si,Si,171000000.0,Carrera 97b # 157A-02,La Capilla de Suba,"Apartamento en venta de 56m2, con vista exterior, ubicado en un 1er piso (Torre 11 Apto 101), parqueadero comunal. Consta de 3 habitaciones, 2 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso laminado en habitaciones y cerámico en zona social, baños y cocina. El conjunto cuenta con salón comunal, zona verde y vigilancia privada las 24 horas. Cerca a centros comerciales como Plaza Imperial y Subazar; cerca a almacenes de cadena como D1, Ara y Éxito; cerca a colegio Liceo Fesán y El Salitre de Suba; cerca a Uniagustiniana y ECCI; cerca a estación de Transmilenio Portal Suba; Vías de acceso por la Carrera 92 y Calle 170.",SUBA
El Mortiño 3,218000,3,29,No,61.0,3,2,0,0,Apartamento,0,24 hrs,No Tiene,,Si,220000000.0,Calle 75 # 110a-13,El Mortiño 3,"Apartamento en venta de 61m2, con vista exterior, ubicado en un 4to piso (Torre 3 Apto 401), acceso por escaleras. Consta de 3 habitaciones, 2 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso cerámico en todas sus zonas. El conjunto cuenta con salón comunal y vigilancia privada las 24 horas. Cerca a centro comercial Portal 80 y Unicentro de Occidente; cerca a almacenes de cadena como Éxito, D1, Ara, Justo y Bueno; cerca a colegio Charry, colegio Luigi Pirandello; cerca a estación de Transmilenio Portal 80 y paraderos del SITP ; Vías de acceso por calle 80 y carrera 110.",GARCES NAVAS
Reserva 67,274700,3,7,Si,75.0,3,2,1,1,Apartamento,0,24 hrs,No Tiene,Si,Si,378000000.0,Carrera 72 # 67 - 75,Reserva 67,"Apartamento en venta de 75m2, con vista exterior, ubicado en un 1er piso (Torre 1 Apto 106), garaje cubierto (606). Consta de 3 habitaciones, 2 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso laminado en habitaciones y zona social y cerámico en baños y cocina. El conjunto cuenta con salón comunal, zona social, parque infantil y vigilancia privada las 24 horas. Cerca a centro comercial titan plaza, centro comercial plaza 80; cerca a almacenes de cadena d1,colsubsidio; cerca a colegio IED Manuela Ayala de Gaitán sede A, colegio Margarita Bosco; cerca a paraderos del SITP; Vías de acceso por la Avenida Boyacá y calle 68b, carrera 72a.",BOYACA REAL
Ibiza,319000,4,13,Si,73.0,3,2,1,1,Apartamento,0,24 hrs,No Tiene,,Si,300000000.0,Carrera 56 #167c-18,Ibiza,"Apartamento en venta de 73m2, con vista interior, ubicado en un 4to piso (Apto 403), acceso por ascensor, parqueadero propio descubierto (2). Consta de 3 habitaciones, 2 baños, sala comedor, balcón (1.90m2), cocina integral y zona de lavandería. Tiene piso laminado en habitaciones y zona social y cerámico en baños y cocina. El edificio cuenta con salón comunal, terraza BBQ y vigilancia privada las 24 horas. Cerca a centro comercial Arizona y Plaza 167; cerca a almacenes de cadena como Éxito, D1, Ara y Surtimax; cerca a colegio Santiago Alberione y colegio San Tarsicio; cerca a universidad Uniagraria; cerca a estación de Transmilenio Toberín; Vías de acceso por la calle 170 y cra 54.",BRITALIA
Multisuba,190000,3,18,No,65.0,3,2,2,0,Apartamento,0,24 hrs,No Tiene,Si,No,260000000.0,Calle 139 # 94-46,Multisuba,"Apartamento en venta de 59m2, con vista interior, ubicado en un 2do piso (Torre F Apto 222), acceso por escaleras, parqueadero propio cubierto (37). Consta de 3 habitaciones, 2 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso laminado en habitaciones y zona social y cerámico en baños y cocina. El conjunto cuenta con parque infantil, zonas verdes, salón social y vigilancia privada las 24 horas. Cerca a centros comerciales Subazar, Acuarela y Centro Suba; cerca a almacenes de cadena como Éxito, Jumbo, Olímpica, D1; cerca a colegios como Winchester y Liceo Los Ángeles de Suba; cerca a universidad Del Tolima; cerca a estación de Transmilenio Transversal 91 y La Campiña; Vías de acceso por la Calle 139 y Cra 94D.",EL RINCON
Nelekonar 2,587000,4,31,Si,122.0,3,3,1,1,Apartamento,1,24 hrs,No Tiene,Si,No,495000000.0,Carrera 7B #144-36,Nelekonar 2,"Apartamento en venta de 122m2, con vista interior, ubicado en un 2do piso (Apto 201), acceso por ascensor, parqueadero propio cubierto (1) y depósito (5). Consta de 3 habitaciones, estudio, 3 baños, sala comedor, zona de estudio, cocina integral,  zona de lavandería y cuarto y baño de servicio. Tiene piso laminado en habitaciones y zona social y cerámico en baños y cocina. El edificio cuenta con salón social y vigilancia privada las 24 horas. Cerca a centro comercial Show Place y Palatino; cerca a almacenes de cadena como Carulla, Éxito, D1 y Ara; cerca a colegios como Provinma y Pureza de María; cerca a universidad El Bosque; Vías de acceso por la carrera 7ma y calle 140.",LOS CEDROS
Vistas del Río 2 ,40000,2,8,No,38.0,2,1,0,0,Apartamento,0,24 hrs,No Tiene,Si,Si,93000000.0,Calle 138 a Sur # 14-58,Vistas del Río 2,"Apartamento en venta de 38 m2, con vista interior ubicado en un 1er piso (Torre 9 Apto 102), acceso por escaleras. Consta de 2 habitaciones, 1 baño, sala comedor, cocina y zona de lavandería. Tiene piso ceramico en todas sus zonas. El conjunto cuenta con zonas verdes, zona para niños, salón comunal, parqueadero comunal y vigilancia privada las 24 horas. ; cerca a almacenes de cadena como Surtimax, ; cerca a colegios Eustasio rivera IED; cerca a universidad Antonio Nariño; Vías de acceso por la Calle 138 A Sur y Carrera 14",CIUDAD USME
Bosques de Bogota 2,54000,2,9,No,48.0,3,1,0,0,Apartamento,0,24 hrs,No Tiene,Si,Si,105400000.0,Carrera 14i # 136a - 90sur,Bosques de Bogota 2,"Apartamento en venta de 48m2, con vista interior, ubicado en un 2do piso (Torre 4 Apto 104), acceso por escaleras. Consta de 3 habitaciones, 1 baño, sala comedor, cocina integral y zona de lavandería. Tiene piso ceramico en todas sus zonas. El conjunto cuenta con parqueadero comunal, parque infantil, salon comunal, y vigilancia privada las 24 horas.  Cerca a almacenes de cadena como Justo & Bueno y D1 ; cerca a colegio Metrovivienda; cerca a paraderos del SITP; Vías de acceso por la carrera 4 y calle 136 sur.


VALOR DE ADMINISTRACION POR CONFIRMAR",CIUDAD USME
Toscana 1,50000,4,19,No,105.0,4,3,1,0,casa con conjunto cerrado,0,24 hrs,No Tiene,,Si,400000000.0,Calle 168 #14-55,Toscana 1,"Casa en venta de 105m2, con vista interior, (Interior 3 Casa 39), parqueadero propio cubierto. Consta de 4 habitaciones, 3 baños, sala comedor, zona de estudio, cocina integral, balcón (2m2) y zona de lavandería. Tiene piso laminado en habitaciones y zona social y cerámico en baños y cocina. El conjunto cuenta con salón comunal, parque infantil, zonas verdes y vigilancia privada las 24 horas. Cerca a centro comercial Mediterráneo; cerca a almacenes de cadena como Carulla, Éxito y Jumbo; cerca a colegio De La Salle; cerca a universidad San Buenaventura; cerca a estación de Transmilenio Portal del Norte; Vías de acceso por Autopista Norte y Calle 170.",TOBERIN
Quintas de Lombardía,0,3,20,No,49.0,2,2,0,0,casa con conjunto cerrado,0,24 hrs,No Tiene,Si,Si,170000000.0,Calle 151c # 109a - 50,Quintas de Lombardía,"Casa en venta de 49m2, con vista interior. Consta de 2 habitaciones, 2 baños, sala comedor, estudio, cocina integral y zona de lavandería. Tiene piso cerámico en todas su áreas. El conjunto cuenta con salón comunal, parque infantil y vigilancia privada las 24 horas. Cerca a centro comercial Plaza Imperial y Centro Comercial Torres de Suba; cerca a almacenes de cadena Éxito y Alkosto; cerca a Colegio Bilingüe Maximino Poitiers y Centro Educativo Los Andes; cerca a universidad CUN - Corporación Unificada Nacional de Educación Superior; cerca al portal de suba; Vías de acceso por la Calle 151c y 109a. VALOR DE ADMINISTRACIÓN POR CONFIRMAR.",SUBA
Torres de Villa Julia,201000,3,13,Si,63.0,2,2,1,1,Apartamento,0,24 hrs,Comunal,Si,No,324000000.0,Calle 169 a # 62-26,Torres de Villa Julia,"Apartamento en venta de 63m2, con vista interior, ubicado en un 1er piso (Torre 1  Apto 401), acceso por escaleras,  parqueadero propio cubierto (85). Consta de 2 habitaciones, 2 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso laminado en habitaciones, zona social y cerámico en baños y cocina. El conjunto cuenta con zona para niños, salón comunal y vigilancia privada las 24 horas. Cerca a centros comerciales Arizona y Prado Comercial; cerca a almacenes de cadena como Carulla, Jumbo, Éxito y Olímpica; cerca a colegios San Tarsicio y Moderno Campestre; cerca a universidad Uniagraria; cerca a paraderos del SITP; Vías de acceso por Calle 169B y Cra 62.",BRITALIA
Santa Ana,464000,4,7,Si,59.0,1,2,2,1,Apartamento,0,24 hrs,No Tiene,Si,Si,355000000.0,Carrera 19a #142a-09,Santa Ana,"Apartamento en venta de 59m2, con vista interior, ubicado en un 3er piso (Apto 302), acceso por ascensor, parqueadero propio cubierto (5A,5B) y deposito (9). Consta de 1 habitaciones, 2 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso lamiando en habitaciones y zona social y cerámico en baños y cocina. El edificio cuenta con salón comunal y vigilancia privada las 24 horas. Cerca a centro comercial Cedritos 151 y Granada Hills; cerca a almacenes de cadena Carulla, Oxxo y Farmatodo; cerca a colegio San Ángelo sede D; cerca a estación de Transmilenio Alcalá y Calle 142; Vías de acceso por la call2 142 y Carrera 19a.

",LOS CEDROS
Villa Álamos Manzana 2,45000,2,19,No,71.0,4,2,0,0,casa con conjunto cerrado,0,24 hrs,Comunal,Si,No,220000000.0,Carrera 111C # 69D-30,Villa Álamos Manzana 2,"Casa en venta de 71m2, con vista interior, (Casa 138). Consta de 4 habitaciones, 2 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso cerámico en todas sus zonas. El conjunto cuenta con parqueadero comunal, parque infantil, salón comunal y vigilancia privada las 24 horas. Cerca a centro comercial Diverplaza; cerca a almacenes de cadena D1, Ara, Surtimax; cerca a colegio Villa Amalia; Vías de acceso por la Carrera 111C y Calle 63.",ENGATIVA
Colina 163,87000,4,1,Si,36.0,2,1,0,1,Apartamento,0,24 hrs,No Tiene,Si,Si,202000000.0,Calle 163 # 59a - 10,Colina 163,"Apartamento en venta de 36m2, con vista interior, ubicado en un primer piso (Torre 1 Apto 106). Consta de 2 habitaciones, 1 baño, sala comedor, cocina integral y zona de lavandería. Tiene piso cerámico en todas sus zonas. El conjunto cuenta con salón comunal, gimnasio, parque infantil, piscina, zonas verdes y vigilancia privada las 24 horas. Cerca a centro comercial Parque La Colina y Porto Alegre; cerca a almacenes de cadena como Éxito, Colsubsidio y D1; cerca a colegio El Vaticano y Santa Isabel de Hungría; cerca a paraderos del SITP; Vías de acceso por la calle 163 y carrera 62.

**El inmueble NO CUENTA CON CONTADOR DE ENERGÍA ELÉCTRICA",BRITALIA
Metro 136,40000,2,7,No,44.0,2,1,0,0,Apartamento,0,24 hrs,No Tiene,Si,Si,90000000.0,Carrera 14 l # 136-21 Sur,Metro 136,"Apartamento en venta de 44m2, con vista interior, ubicado en un 2do piso (Torre 1 Apto 201). Consta de 2 habitaciones, 1 baño, sala comedor, cocina integral y zona de lavandería. Tiene piso ceramico en habitaciones, zona social, baños y cocina. El conjunto cuenta con salón social, parque infantil y vigilancia privada las 24 horas. Cerca a almacenes de cadena como Surtimax, Tiendas D1 y Ara; cerca a colegio Metro Vivienda, colegio Francisco Antonio Zea y colegio Usme; cerca a universidad Antonio Nariño; cerca a rutas alimentadoras y paraderos del Sitp; Vías de acceso por la Cra 14 y la Calle 136a Sur.",CIUDAD USME
Miramont Club Residencial 1,405700,4,8,No,105.0,3,2,1,3,Apartamento,1,24 hrs,No Tiene,Si,Si,535000000.0,Carrera 8 #167d-62,Miramont Club Residencial 1,"Apartamento en venta de 105m2, con vista exterior, ubicado en un 5to piso (Torre 1 Apto 508), acceso por ascensor, parqueadero propio cubierto (304 y 305) y depósito (1343). Consta de 3 habitaciones, 2 baños, zona de estudio, sala comedor, balcón, cocina integral y zona de lavandería. Tiene piso laminado en zona social, alfombra en habitaciones  y cerámico en baños y cocina. El conjunto cuenta con salón comunal, gimnasio, cancha de squash, zona BBQ, terraza, zona para niños, zonas húmedas y vigilancia las 24 horas. Cerca a centro comercial Mediterráneo; cerca a almacenes de cadena como Éxito, Surtimax, Pricesmart y Dollarcity; cerca a Colegio José Manuel Marroquín y Colegio María Inmaculada; cerca a Universidad de San Buenaventura y Universidad de La Salle. Cerca a estación de Transmilenio Portal Norte. Vías de acceso por la Calle 170 y la Carrera 7ma.",LA URIBE
 San Isidro,58000,2,14,Si,47.0,2,1,0,0,Apartamento,0,No,No Tiene,,No,122000000.0,Calle 72b # 89a - 01,San Isidro,"Apartamento en venta de 43m2, con vista interior, ubicado en un 6to piso (Torre 6 Apto 501), acceso por escaleras. Consta de 2 habitaciones, 1 baño, sala comedor, cocina integral y zona de lavandería. Tiene piso laminado en zona social y habitaciones y piso cerámico en baño y cocina. El conjunto cuenta con salón social, plazoleta central, parqueadero comunal y vigilancia privada las 24 horas. Cerca a centro comercial Metro Recreo; cerca a almacenes de cadena como Olìmpica, Surtimax, Tiendas D1 y Ara; cerca a Colegio Jorge Isaacs y Colegio Leonardo Posada Pedraza; cerca a rutas alimentadoras de Transmilenio y paraderos del SITP; Vías de acceso por la Calle 73a Sur y la Carrera 88j.

",BOSA OCCIDENTAL
Reserva De Fontibon,106000,3,4,No,46.0,2,1,0,1,Apartamento,0,24 hrs,No Tiene,Si,No,184000000.0,Carrera 116 a # 15 c-70,Reserva De Fontibon,"Apartamento en venta de 46 m2, con vista interior, ubicado en un 8vo piso (Torre 12  Apto 808), acceso por ascensor. Consta de 2 habitaciones, 1 baño, sala comedor, zona para estudio, cocina integral y zona de lavandería. Tiene piso laminado en zona social y habitaciones y ceramico en coocina y baño. El conjunto cuenta con parqueadero comunal, zonas verdes, salón comunal, zona BBQ, gimnasio y vigilancia privada las 24 horas. Cerca a centro comercial Viva; cerca a almacenes de cadena como Éxito, D1; cerca a colegio San Isidro Labrador; cerca paraderos del SITP; Vías de acceso por Avenida Calle 13 y Carrera 116.
",ZONA FRANCA
El Coliseo,438000,5,38,No,47.0,2,1,1,1,Apartamento,0,24 hrs,No Tiene,Si,Si,381000000.0,Calle 97 # 15-60,El Coliseo,"Apartamento en venta de 47m2, con vista exterior, ubicado en un 2do piso ( Apto 205), acceso por ascensor, parqueadero uso exclusivo (24). Consta de 2 habitaciones, 1 baño, sala comedor, cocina integral y zona de lavandería. Tiene piso lamiando en habitaciones y cerámico en zona social, baño y cocina. El conjunto cuenta con vigilancia privada las 24 horas. Cerca a centro comercial Centro 93 y Plaza 102; cerca a almacenes de cadena como Éxito, Carulla, D1 y Olímpica; cerca a Colegio de Nuestra Señora del Buen Consejo y Colegio Bachillerato Patria; cerca a Universidad Nebrija y Universidad de América; cerca a estacion de Transmilenio La Castellana; Vías de acceso por la calle 100 y la autopista norte.",CHICO LAGO
Jardín de Granada,387600,3,13,No,70.0,3,2,1,1,Apartamento,0,24 hrs,No Tiene,,Si,332808000.0,Carrera 54a #168a-18,Jardín de Granada,"Apartamento en venta de 70m2, con vista exterior, ubicado en un 6to piso (Apto 601), acceso por ascensor, parqueadero propio cubierto (23). Consta de 3 habitaciones, zona de estudio, 2 baños, sala comedor, balcón (1m2), cocina integral y zona de lavandería. Tiene piso laminado en habitaciones y zona social y cerámico en baños y cocina. El edificio cuenta con salón comunal y vigilancia privada las 24 horas. Cerca a centro comercial Santafé y Arizona; cerca a almacenes de cadena como D1, Ara, Jumbo y Surtimax; cerca a colegios como Abraham Lincoln - Primaria y Colegio Nazaret; cerca a Universidad De San Buenaventura y Uniagraria; cerca a estación de Transmilenio Toberín y Portal del Norte; Vías de acceso por la calle 170 y Autopista Norte.",BRITALIA
Newton,50000,3,14,No,73.0,3,2,1,0,Apartamento,0,24 hrs,No Tiene,Si,Si,291750503.0,Calle 181c # 11 - 29,Newton,"Apartamento en venta de 73m2, con vista interior, ubicado en un 4to piso (Torre 8 Apto 402), acceso por escaleras. Consta de 3 habitaciones, 2 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso cerámico en habitaciones, baños y cocina y porcelanato en zona social. El conjunto cuenta con salón comunal, parque infanti, zonas verdes y vigilancia privada las 24 horas. Cerca a centro comercial Santafé y centro comercial Panamá; cerca a almacenes de cadena como Jumbo, D1, Carulla y Ara; cerca a Colegio Instituto Americano del Norte y Colegio Saludcoop Norte; cerca a Universidad La Salle y Universidad De San Buenaventura; cerca a estacion de Transmilenio Calle 187; Vías de acceso por la calle 183 y la Autopista Norte.",VERBENAL
Parque Malpelo 1,65000,2,6,No,55.0,3,2,0,0,Apartamento,0,24 hrs,No Tiene,Si,Si,160000000.0,Carrera 81h#75-85Sur,Parque Malpelo 1,"Apartamento en venta de 55m2, con vista interior, ubicado en un 5to piso (Torre 15 Apto 504). Consta de 3 habitaciones, 2 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso cerámico en todas sus zonas. El conjunto cuenta con salón social, parque infantil, zonas verdes, parqueadero comunal y vigilancia privada las 24 horas. Cerca a almacenes de cadena como Surtimax, Tiendas D1, Ara y Olímpica; cerca a colegio Bicentenario de la Independencia y colegio Alfonso Reyes Echandía; cerca a paraderos del SITP; Vías de acceso por la carrera 81H.",BOSA CENTRAL
Sotileza Estelar,601000,6,26,Si,89.0,2,3,2,1,Apartamento,0,24 hrs,No Tiene,Si,Si,465000000.0,Calle128b #72-59,Sotileza Estelar,"Apartamento en venta de 89m2, con vista exterior, ubicado en un 4to piso (Apto 402), acceso por ascensor. Consta de 2 habitaciones, 3 baños, sala comedor, parqueadero propio (12 y 29), cocina integral y zona de lavandería. Tiene piso laminado en habitaciones, en madera en zona social y cerámico en baños y cocina. El edificio cuenta con salón social, parque infantil y vigilancia privada las 24 horas. Cerca a centro comercial Bulevar Niza y Mall 138; cerca a almacenes de cadena Carulla; cerca a Colegio Gimnasio Las Villas y Colegio San Patricio; cerca a Universidad Católica Luis Amigó y Uniagustiniana; cerca a estación de Transmilenio Av. Suba - Av. Boyacá; Vías de acceso por la carrera 72 y Calle 128 b. ",NIZA
Tarragona del Salitre 2 ,354000,4,18,Si,87.0,3,2,1,1,Apartamento,0,24 hrs,Comunal,Si,Si,490000000.0,Carrera 72 Bis#24d-50,Tarragona del Salitre 2,"Apartamento en venta de 87m2, con vista exterior, ubicado en un 6to piso (Torre 1 Apto 604), acceso por ascensor, parqueadero propio cubierto (18). Consta de 3 habitaciones, 2 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso cerámico en todas sus zonas. El conjunto cuenta con salón comunal, parque infantil y vigilancia privada las 24 horas. Cerca a centro comercial Salitre Plaza; cerca a almacenes de cadena como Éxito, Carulla, D1 y Ara; cerca a Colegio Gimnasio Nuevo Modelia e instituto Nazareno Modelia; cerca a Universidad Libre Sede El Bosque; cerca a estación de Transmilenio Av. Rojas; Vías de acceso por la calle 24 y Av. Boyacá.

",MODELIA
