administración,estrato,antiguedad,área,habitaciones,baños,garajes,elevadores,tipo_de_inmueble,porteria,precio,Localidad,Tasa_Homicidios_100k,Tasa_Hurtos_100k,incluye_remodelado,incluye_deposito,incluye_zona_de_lavanderia,incluye_gas,incluye_parqueadero
174908,4,39,74.0,2,2,1,0,Apartamento,No,300000000.0,USAQUEN,8.5,850.0,True,False,False,True,False
179800,2,9,54.0,2,1,0,0,casa con conjunto cerrado,24 hrs,184600000.0,ENGATIVA,11.3,790.0,True,False,False,True,False
360000,4,6,72.0,2,2,1,1,Apartamento,24 hrs,419000000.0,BARRIOS UNIDOS,7.7,920.0,True,False,False,True,False
400000,5,26,71.0,3,2,1,0,Apartamento,24 hrs,296000000.0,SUBA,9.8,750.0,True,True,False,True,False
63600,2,12,41.0,2,1,0,0,Apartamento,24 hrs,120000000.0,USME,18.9,680.0,True,False,False,True,True
171000,3,25,68.0,3,2,1,0,Apartamento,No,239580000.0,SUBA,9.8,750.0,True,False,False,True,True
250000,3,32,61.0,3,2,1,0,Apartamento,No,255000000.0,USAQUEN,8.5,850.0,True,False,False,True,False
143000,3,22,75.0,3,2,0,0,Apartamento,24 hrs,276000000.0,KENNEDY,25.4,950.0,False,False,False,False,False
157000,3,8,44.0,3,1,1,1,Apartamento,24 hrs,200000000.0,CIUDAD BOLIVAR,35.0,650.0,True,False,False,True,True
317100,3,28,61.0,2,1,1,0,Apartamento,24 hrs,280000000.0,BARRIOS UNIDOS,7.7,920.0,True,False,False,True,True
215800,3,6,66.0,3,2,1,1,Apartamento,24 hrs,230000000.0,SUBA,9.8,750.0,True,False,False,True,False
570000,4,12,62.0,2,2,1,1,Apartamento,24 hrs,400000000.0,USAQUEN,8.5,850.0,True,True,False,True,True
139000,2,10,45.0,3,2,0,1,Apartamento,24 hrs,186000000.0,KENNEDY,25.4,950.0,True,False,False,True,True
167000,3,14,66.0,3,2,0,0,Apartamento,24 hrs,235000000.0,ENGATIVA,11.3,790.0,True,False,False,True,True
150000,6,26,97.0,3,2,2,1,Apartamento,24 hrs,464400000.0,USAQUEN,8.5,850.0,False,True,False,False,False
448000,4,10,73.0,1,2,1,1,Apartamento,24 hrs,482000000.0,USAQUEN,8.5,850.0,True,True,False,True,True
130400,3,6,50.0,3,1,0,2,Apartamento,24 hrs,154000000.0,FONTIBON,10.1,810.0,True,False,False,True,True
135000,3,39,57.0,3,1,1,0,Apartamento,24 hrs,213000000.0,ENGATIVA,11.3,790.0,True,True,False,True,True
220000,5,3,68.0,2,2,1,1,Apartamento,No,418000000.0,SUBA,9.8,750.0,True,False,False,True,True
83300,3,12,48.0,2,2,0,0,Apartamento,24 hrs,155000000.0,CIUDAD BOLIVAR,35.0,650.0,True,False,False,True,False
57000,2,7,41.0,2,1,0,0,Apartamento,24 hrs,102000000.0,USME,18.9,680.0,True,False,False,True,True
66800,2,12,42.0,2,1,0,0,Apartamento,24 hrs,130000000.0,KENNEDY,25.4,950.0,True,False,False,True,True
142600,3,0,35.0,1,1,0,1,Apartamento,24 hrs,205000000.0,USAQUEN,8.5,850.0,True,False,True,True,True
180000,3,32,59.0,3,2,1,0,Apartamento,24 hrs,250000000.0,SUBA,9.8,750.0,True,False,False,True,False
202500,3,3,68.0,3,2,1,3,Apartamento,24 hrs,320000000.0,KENNEDY,25.4,950.0,True,False,False,True,True
367000,4,4,71.0,3,2,1,1,Apartamento,24 hrs,456500000.0,SUBA,9.8,750.0,True,True,False,True,True
250000,3,14,78.0,3,2,1,1,Apartamento,24 hrs,341480000.0,SUBA,9.8,750.0,True,False,False,True,True
45000,2,15,55.0,3,1,0,0,Apartamento,24 hrs,117000000.0,USME,18.9,680.0,True,False,False,True,True
515000,4,29,104.0,3,3,1,1,Apartamento,24 hrs,470000000.0,TEUSAQUILLO,6.5,1100.0,True,True,True,True,False
76500,3,20,44.0,2,1,0,0,Apartamento,24 hrs,139000000.0,SUBA,9.8,750.0,True,False,False,True,False
50000,2,7,44.0,2,1,0,0,Apartamento,24 hrs,98000000.0,USME,18.9,680.0,False,False,False,False,True
331527,3,4,40.0,1,1,0,1,Apartamento,24 hrs,230000000.0,TEUSAQUILLO,6.5,1100.0,True,False,False,True,True
104000,3,4,45.0,3,1,0,1,Apartamento,24 hrs,175000000.0,SAN CRISTOBAL,12.8,720.0,True,False,False,True,True
143000,3,0,35.0,1,1,0,1,Apartamento,24 hrs,250000000.0,USAQUEN,8.5,850.0,False,False,True,False,True
463,4,31,66.0,3,2,1,0,Apartamento,24 hrs,270000000.0,USAQUEN,8.5,850.0,True,False,True,True,True
388000,3,12,86.0,3,2,1,1,Apartamento,24 hrs,419250000.0,SUBA,9.8,750.0,True,False,True,True,True
